Time in Seconds,Quadrant Number,Ball Color,Event Type
8.378978,3,yellow,Entry
10.890008,1,orange,Entry
11.337162,1,orange,Exit
11.639593,4,white,Entry
14.4787,2,orange,Entry
14.921575,4,white,Exit
14.921575,2,orange,Exit
17.940642,2,white,Entry
27.406616,4,green,Entry
33.488645,1,orange,Entry
51.338132,2,white,Exit
60.046555,1,orange,Exit
66.415006,1,orange,Entry
66.658317,1,orange,Exit
67.000166,4,white,Entry
73.862178,1,orange,Entry
73.941721,1,orange,Exit
77.124288,1,orange,Entry
78.412421,1,orange,Exit
81.672298,2,orange,Entry
83.611817,3,yellow,Exit
91.238553,4,green,Exit
94.289303,3,green,Entry
99.158187,1,yellow,Entry
114.410137,2,orange,Exit
119.223784,1,orange,Entry
119.498776,1,orange,Exit
125.835641,1,orange,Entry
126.87899,3,green,Exit
132.040887,1,yellow,Exit
132.128651,1,orange,Exit
135.14143,3,yellow,Entry
135.472332,1,orange,Entry
135.750772,1,orange,Exit
143.658931,1,orange,Entry
148.275867,1,green,Entry
148.42577,1,green,Exit
148.96364,4,white,Exit
151.704245,1,green,Entry
151.951771,1,green,Exit
152.580159,4,white,Entry
153.314697,4,white,Exit
155.090877,4,green,Entry
156.538802,4,white,Entry
156.681914,4,white,Exit
161.039752,2,white,Entry
169.955087,1,orange,Exit
171.925584,4,green,Exit
173.328974,2,white,Exit
175.238589,1,orange,Entry
175.540658,1,orange,Exit
175.991268,3,yellow,Exit
181.820307,1,orange,Entry
181.899938,1,yellow,Entry
181.899938,1,orange,Exit
182.483455,4,white,Entry
182.551993,4,white,Exit
187.525714,1,orange,Entry
187.594027,1,orange,Exit
188.188385,4,white,Entry
188.329416,4,white,Exit
191.484166,4,white,Entry
191.778001,1,orange,Entry
191.851268,4,white,Exit
194.874593,1,orange,Exit
194.951084,3,white,Entry
195.105082,2,green,Entry
199.756566,1,orange,Entry
199.844162,1,orange,Exit
200.817397,3,white,Exit
202.984421,4,orange,Entry
203.879011,3,white,Entry
